"Export for HP:0000252"
"Gene","Associated diseases"
"SLC25A1 (6576)","COMBINED D-2- AND L-2-HYDROXYGLUTARIC AC... (OMIM:615182)"
"ZNF335 (63925)","MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECE... (OMIM:615095)"
"FWS (100529224)","FORSYTHE-WAKELING SYNDROME (OMIM:613606)"
"ASNS (440)","ASPARAGINE SYNTHETASE (OMIM:108370), ASPARAGINE SYNTHETASE DEFICIENCY (OMIM:615574)"
"SETBP1 (26040)","SCHINZEL-GIEDION MIDFACE RETRACTION SYND... (OMIM:269150), MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:616078)"
"RNASET2 (8635)","LEUKOENCEPHALOPATHY, CYSTIC, WITHOUT MEG... (OMIM:612951)"
"RBPJ (3516)","ADAMS-OLIVER SYNDROME 3 (OMIM:614814)"
"CEP135 (9662)","MICROCEPHALY 8, PRIMARY, AUTOSOMAL RECES... (OMIM:614673)"
"SNAI2 (6591)","PIEBALD TRAIT (OMIM:172800), WAARDENBURG SYNDROME, TYPE 2D (OMIM:608890)"
"MRXSAB (57792)","X-LINKED INTELLECTUAL DISABILITY, ABIDI ... (OMIM:300262)"
"PTRH2 (51651)","NEUROLOGIC, ENDOCRINE, AND PANCREATIC DI... (OMIM:616263)"
"ANKRD11 (29123)","KBG SYNDROME (OMIM:148050)"
"SMARCA2 (6595)","NICOLAIDES-BARAITSER SYNDROME (OMIM:601358)"
"SMARCA4 (6597)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614609)"
"PUS1 (80324)","MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLA... (OMIM:600462)"
"MPLKIP (136647)","TRICHOTHIODYSTROPHY, NONPHOTOSENSITIVE 1 (OMIM:234050)"
"AUTS2 (26053)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615834)"
"SMARCB1 (6598)","RHABDOID TUMOR PREDISPOSITION SYNDROME 1 (OMIM:609322), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614608)"
"CVMRF (494028)","CUBITUS VALGUS WITH MENTAL RETARDATION A... (OMIM:300471)"
"CDK5RAP2 (55755)","MICROCEPHALY 3, PRIMARY, AUTOSOMAL RECES... (OMIM:604804)"
"MPC1 (51660)","MITOCHONDRIAL PYRUVATE CARRIER DEFICIENC... (OMIM:614741)"
"CEP152 (22995)","SECKEL SYNDROME 5 (OMIM:613823), MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECES... (OMIM:614852)"
"PRKDC (5591)","IMMUNODEFICIENCY 26 WITH OR WITHOUT NEUR... (OMIM:615966)"
"CTNNB1 (1499)","PILOMATRIXOMA (OMIM:132600), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:615075), HEPATOCELLULAR CARCINOMA (OMIM:114550), COLORECTAL CANCER (OMIM:114500), OVARIAN CANCEROVARIAN CANCER, EPITHELIAL... (OMIM:167000)"
"AP4B1 (10717)","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSI... (OMIM:614066)"
"OCLN (100506658)","BAND-LIKE CALCIFICATION WITH SIMPLIFIED ... (OMIM:251290)"
"MBD5 (55777)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1 (OMIM:156200)"
"SNRPB (6628)","CEREBROCOSTOMANDIBULAR SYNDROME (OMIM:117650)"
"CTSD (1509)","CEROID LIPOFUSCINOSIS, NEURONAL, 10 (OMIM:610127)"
"GFM1 (85476)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:609060)"
"CEP57 (9702)","MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2 (OMIM:614114)"
"PLK4 (10733)","MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:616171)"
"SLX4 (84464)","FANCONI ANEMIA, COMPLEMENTATION GROUP P (OMIM:613951)"
"ATP5A1 (498)","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) D... (OMIM:615228), COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616045)"
"ACF (387569)","CAYLER CARDIOFACIAL SYNDROME (OMIM:125520)"
"MVK (4598)","POROKERATOSIS 3, MULTIPLE TYPES (OMIM:175900), MEVALONIC ACIDURIA (OMIM:610377), HYPER-IGD SYNDROME (OMIM:260920)"
"RAI1 (10743)","SMITH-MAGENIS SYNDROME (OMIM:182290)"
"MGME1 (92667)","MITOCHONDRIAL DNA DEPLETION SYNDROME 11 (OMIM:615084)"
"SEMA3E (9723)","CHARGE SYNDROME (OMIM:214800)"
"ATPAF2 (91647)","ATPASE DEFICIENCY, NUCLEAR-ENCODED (OMIM:604273)"
"SOX2 (6657)","MICROPHTHALMIA, SYNDROMIC 3 (OMIM:206900)"
"MYCN (4613)","FEINGOLD SYNDROME 1 (OMIM:164280)"
"SOX11 (6664)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615866)"
"UBR1 (197131)","JOHANSON-BLIZZARD SYNDROME (OMIM:243800)"
"TCTN3 (26123)","JOUBERT SYNDROME 18 (OMIM:614815), OROFACIODIGITAL SYNDROME IV (OMIM:258860)"
"GAD1 (2571)","CEREBRAL PALSY, SPASTIC, SYMMETRIC, AUTO... (OMIM:603513)"
"MYH3 (4621)","ARTHROGRYPOSIS, DISTAL, TYPE 8 (OMIM:178110), ARTHROGRYPOSIS, DISTAL, TYPE 2B (OMIM:601680), ARTHROGRYPOSIS, DISTAL, TYPE 2A (OMIM:193700)"
"IFT140 (9742)","MAINZER-SALDINO SYNDROME (OMIM:266920)"
"IBA57 (200205)","SPASTIC PARAPLEGIA 74, AUTOSOMAL RECESSI... (OMIM:616451), MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYND... (OMIM:615330)"
"KIF1BP (26128)","GOLDBERG-SHPRINTZEN SYNDROME (OMIM:609460)"
"MASP1 (5648)","3MC SYNDROME 1 (OMIM:257920)"
"RELN (5649)","LISSENCEPHALY 2 (OMIM:257320)"
"CNNM2 (54805)","HYPOMAGNESEMIA 6, RENAL (OMIM:613882), HYPOMAGNESEMIA, SEIZURES, AND MENTAL RET... (OMIM:616418)"
"UPB1 (51733)","BETA-UREIDOPROPIONASE DEFICIENCY (OMIM:613161)"
"DYM (54808)","DYGGVE-MELCHIOR-CLAUSEN DISEASE (OMIM:223800), SMITH-MCCORT DYSPLASIA 1 (OMIM:607326)"
"ZBTB16 (7704)","SKELETAL DEFECTS, GENITAL HYPOPLASIA, AN... (OMIM:612447)"
"ATP7A (538)","SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKE... (OMIM:300489), MENKES DISEASE (OMIM:309400), OCCIPITAL HORN SYNDROME (OMIM:304150)"
"ADAT3 (113179)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615286)"
"CENPJ (55835)","MICROCEPHALY 6, PRIMARY, AUTOSOMAL RECES... (OMIM:608393), SECKEL SYNDROME 4 (OMIM:613676)"
"WWOX (51741)","ESOPHAGEAL CANCERESOPHAGEAL SQUAMOUS CEL... (OMIM:133239), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616211), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:614322)"
"HDAC4 (9759)","BRACHYDACTYLY-MENTAL RETARDATION SYNDROM... (OMIM:600430)"
"ATR (545)","CUTANEOUS TELANGIECTASIA AND CANCER SYND... (OMIM:614564), SECKEL SYNDROME 1 (OMIM:210600)"
"ATRX (546)","MENTAL RETARDATION-HYPOTONIC FACIES SYND... (OMIM:309580), ALPHA-THALASSEMIA/MENTAL RETARDATION SYN... (OMIM:301040), ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROM... (OMIM:300448)"
"KIF1A (547)","SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSI... (OMIM:610357), NEUROPATHY, HEREDITARY SENSORY, TYPE IIC (OMIM:614213), MENTAL RETARDATION, AUTOSOMAL DOMINANT 9 (OMIM:614255)"
"NDE1 (54820)","LISSENCEPHALY 4 (OMIM:614019), MICROHYDRANENCEPHALY (OMIM:605013)"
"AUH (549)","3-@METHYLGLUTACONIC ACIDURIA, TYPE I (OMIM:250950)"
"RTEL1 (51750)","PULMONARY FIBROSIS AND/OR BONE MARROW FA... (OMIM:616373), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:615190)"
"SPR (6697)","DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAP... (OMIM:612716)"
"GJB4 (127534)","ERYTHROKERATODERMIA VARIABILIS ET PROGRE... (OMIM:133200)"
"KIAA2022 (340533)","MENTAL RETARDATION, X-LINKED 98 (OMIM:300912)"
"TMEM165 (55858)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614727)"
"NADK2 (133686)","2,4-@DIENOYL-COA REDUCTASE DEFICIENCY (OMIM:616034)"
"SPTAN1 (6709)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:613477)"
"RNF113A (7737)","TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE (OMIM:300953)"
"INSR (3643)","INSULIN-RESISTANCE SYNDROME TYPE A (OMIM:610549), HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL,... (OMIM:609968), DONOHUE SYNDROME (OMIM:246200), PINEAL HYPERPLASIA, INSULIN-RESISTANT DI... (OMIM:262190)"
"HDAC8 (55869)","CORNELIA DE LANGE SYNDROME 5 (OMIM:300882), WILSON-TURNER X-LINKED MENTAL RETARDATIO... (OMIM:309585)"
"PTDSS1 (9791)","LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM (OMIM:151050)"
"GATA6 (2627)","HEART DEFECTS, CONGENITAL, AND OTHER CON... (OMIM:600001), TETRALOGY OF FALLOT (OMIM:187500), ATRIAL SEPTAL DEFECT 9 (OMIM:614475), CONOTRUNCAL HEART MALFORMATIONS (OMIM:217095), ATRIOVENTRICULAR SEPTAL DEFECT 5 (OMIM:614474)"
"GBA (2629)","GAUCHER DISEASE, TYPE II (OMIM:230900), GAUCHER DISEASE, TYPE III (OMIM:231000), GAUCHER DISEASE, TYPE IIIC (OMIM:231005), GAUCHER DISEASE, PERINATAL LETHAL (OMIM:608013), GAUCHER DISEASE, TYPE I (OMIM:230800)"
"NBN (4683)","LEUKEMIA, ACUTE LYMPHOBLASTIC (OMIM:613065), NIJMEGEN BREAKAGE SYNDROME (OMIM:251260), APLASTIC ANEMIA (OMIM:609135)"
"TUBB2B (347733)","POLYMICROGYRIA, SYMMETRIC OR ASYMMETRIC (OMIM:610031)"
"NDP (4693)","NORRIE DISEASE (OMIM:310600), EXUDATIVE VITREORETINOPATHY 2, X-LINKED (OMIM:305390)"
"MRXSMP (574047)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300519)"
"ITGA3 (3675)","INTERSTITIAL LUNG DISEASE, NEPHROTIC SYN... (OMIM:614748)"
"PSPH (5723)","PHOSPHOSERINE PHOSPHATASE DEFICIENCY (OMIM:614023)"
"SSR4 (6748)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:300934)"
"TUBGCP4 (27229)","MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:616335)"
"KTWS (791122)","KLIPPEL-TRENAUNAY-WEBER SYNDROME (OMIM:149000)"
"TUBA8 (51807)","POLYMICROGYRIA WITH OPTIC NERVE HYPOPLAS... (OMIM:613180)"
"BCOR (54880)","MICROPHTHALMIA, SYNDROMIC 2 (OMIM:300166)"
"SUCLA2 (8803)","MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (... (OMIM:612073)"
"ACE (1636)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"RJBS (100528027)","RAJAB SYNDROME (OMIM:613658)"
"NSUN2 (54888)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:611091)"
"DPM1 (8813)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608799)"
"ZEB2 (9839)","MOWAT-WILSON SYNDROME (OMIM:235730)"
"MRPS22 (56945)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:611719)"
"DPM2 (8818)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:615042)"
"PHGDH (26227)","PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENC... (OMIM:601815), NEU-LAXOVA SYNDROME (OMIM:256520)"
"FREM1 (158326)","TRIGONOCEPHALY 2 (OMIM:614485), MANITOBA OCULOTRICHOANAL SYNDROME (OMIM:248450), BIFID NOSE WITH OR WITHOUT ANORECTAL AND... (OMIM:608980)"
"STT3A (3703)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:615596)"
"MKS1 (54903)","BARDET-BIEDL SYNDROME 13 (OMIM:615990), MECKEL SYNDROME, TYPE 1 (OMIM:249000)"
"FBXL4 (26235)","MITOCHONDRIAL DNA DEPLETION SYNDROME 13 ... (OMIM:615471)"
"TBC1D20 (128637)","WARBURG MICRO SYNDROME 4 (OMIM:615663)"
"NSDHL (50814)","CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIF... (OMIM:308050), CK SYNDROME (OMIM:300831)"
"SYNGAP1 (8831)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 5 (OMIM:612621)"
"DDX11 (1663)","WARSAW BREAKAGE SYNDROME (OMIM:613398)"
"ELOVL4 (6785)","STARGARDT DISEASE 3 (OMIM:600110), ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND ME... (OMIM:614457), SPINOCEREBELLAR ATAXIA 34 (OMIM:133190)"
"BLM (641)","BLOOM SYNDROME (OMIM:210900)"
"IFIH1 (64135)","AICARDI-GOUTIERES SYNDROME 7 (OMIM:615846), SINGLETON-MERTEN SYNDROME 1 (OMIM:182250)"
"CDKL5 (6792)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:300672)"
"GJA1 (2697)","OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL R... (OMIM:257850), CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL R... (OMIM:218400), SYNDACTYLY, TYPE III (OMIM:186100), ERYTHROKERATODERMIA VARIABILIS ET PROGRE... (OMIM:133200), OCULODENTODIGITAL DYSPLASIA (OMIM:164200), HYPOPLASTIC LEFT HEART SYNDROME (OMIM:241550), ALOPECIA CONGENITA WITH KERATOSIS PALMOP... (OMIM:104100), ATRIOVENTRICULAR SEPTAL DEFECT (OMIM:600309)"
"BMP4 (652)","MICROPHTHALMIA, SYNDROMIC 6 (OMIM:607932), OROFACIAL CLEFT 11 CLEFT LIP, CONGENITAL... (OMIM:600625)"
"FREM2 (341640)","FRASER SYNDROME (OMIM:219000)"
"FAM20C (56975)","RAINE SYNDROME (OMIM:259775)"
"GJB3 (2707)","DEAFNESS, AUTOSOMAL RECESSIVE 1A (OMIM:220290), ERYTHROKERATODERMIA VARIABILIS ET PROGRE... (OMIM:133200), DEAFNESS, AUTOSOMAL DOMINANT 2B (OMIM:612644)"
"CLPB (81570)","3-@METHYLGLUTACONIC ACIDURIA WITH CATARA... (OMIM:616271)"
"BRCA2 (675)","BREAST CANCER (OMIM:114480), PROSTATE CANCER (OMIM:176807), FANCONI ANEMIA, COMPLEMENTATION GROUP D1 (OMIM:605724), WILMS TUMOR 1 (OMIM:194070), BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPT... (OMIM:612555), PANCREATIC CANCER, SUSCEPTIBILITY TO, 2 (OMIM:613347)"
"VPS33B (26276)","ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND C... (OMIM:208085)"
"ST3GAL5 (8869)","AMISH INFANTILE EPILEPSY SYNDROME (OMIM:609056)"
"TINF2 (26277)","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINA... (OMIM:613990), REVESZ SYNDROME (OMIM:268130)"
"TUBA1A (7846)","LISSENCEPHALY 3 (OMIM:611603)"
"TECPR2 (9895)","SPASTIC PARAPLEGIA 49, AUTOSOMAL RECESSI... (OMIM:615031)"
"FIG4 (9896)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J (OMIM:611228), AMYOTROPHIC LATERAL SCLEROSIS 11 (OMIM:612577), YUNIS-VARON SYNDROME (OMIM:216340), POLYMICROGYRIA, BILATERAL TEMPOROOCCIPIT... (OMIM:612691)"
"PTS (5805)","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A (OMIM:261640)"
"KCNJ2 (3759)","ATRIAL FIBRILLATION, FAMILIAL, 9 (OMIM:613980), ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARA... (OMIM:170390), SHORT QT SYNDROME 3 (OMIM:609622)"
"GLI2 (2736)","HOLOPROSENCEPHALY 9 (OMIM:610829), PALLISTER-HALL SYNDROME 2 (OMIM:615849)"
"PGAP2 (27315)","HYPERPHOSPHATASIA WITH MENTAL RETARDATIO... (OMIM:614207)"
"KCNJ6 (3763)","KEPPEN-LUBINSKY SYNDROME (OMIM:614098)"
"DGUOK (1716)","MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (... (OMIM:251880)"
"DHCR7 (1717)","SMITH-LEMLI-OPITZ SYNDROME (OMIM:270400)"
"SUMF1 (285362)","MULTIPLE SULFATASE DEFICIENCY (OMIM:272200)"
"DHCR24 (1718)","DESMOSTEROLOSIS (OMIM:602398)"
"DHFR (1719)","MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLAT... (OMIM:613839)"
"TMEM70 (54968)","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) D... (OMIM:614052)"
"COQ9 (57017)","COENZYME Q10 DEFICIENCY, PRIMARY, 5 (OMIM:614654)"
"EIF2B4 (8890)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"ARNT2 (9915)","WEBB-DATTANI SYNDROME (OMIM:615926)"
"EIF2B3 (8891)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"EIF2B2 (8892)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"BUB1B (701)","MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1 (OMIM:257300), COLORECTAL CANCER (OMIM:114500)"
"EIF2B5 (8893)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"CYB5R3 (1727)","METHEMOGLOBINEMIA DUE TO DEFICIENCY OF M... (OMIM:250800)"
"PYCR1 (5831)","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE II... (OMIM:612940), CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE II... (OMIM:614438)"
"KIF14 (9928)","MECKEL SYNDROME 12 (OMIM:616258)"
"DKC1 (1736)","DYSKERATOSIS CONGENITA, X-LINKED (OMIM:305000)"
"DLAT (1737)","PYRUVATE DEHYDROGENASE E2 DEFICIENCY (OMIM:245348)"
"DLD (1738)","DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENC... (OMIM:246900)"
"RARS2 (57038)","PONTOCEREBELLAR HYPOPLASIA, TYPE 6 (OMIM:611523)"
"KIF2A (3796)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615411)"
"CDT1 (81620)","MEIER-GORLIN SYNDROME 4 (OMIM:613804)"
"KIF5C (3800)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615282)"
"TAF2 (6873)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615599)"
"RFT1 (91869)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:612015)"
"CLP1 (10978)","PONTOCEREBELLAR HYPOPLASIA, TYPE 10 (OMIM:615803)"
"GPT2 (84706)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:616281)"
"QARS (5859)","MICROCEPHALY, PROGRESSIVE, WITH SEIZURES... (OMIM:615760)"
"DNA2 (1763)","SECKEL SYNDROME 8 (OMIM:615807), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:615156)"
"QDPR (5860)","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C (OMIM:261630)"
"BRAT1 (221927)","RIGIDITY AND MULTIFOCAL SEIZURE SYNDROME... (OMIM:614498)"
"KIT (3815)","PIEBALD TRAIT (OMIM:172800), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), LEUKEMIA, ACUTE MYELOID (OMIM:601626), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), MAST CELL DISEASE (OMIM:154800)"
"PIGO (84720)","HYPERPHOSPHATASIA WITH MENTAL RETARDATIO... (OMIM:614749)"
"TRAPPC9 (83696)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:613192)"
"DYNC1H1 (1778)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:614228), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614563), SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY... (OMIM:158600)"
"TAT (6898)","TYROSINE TRANSAMINASE DEFICIENCY (OMIM:276600)"
"TBX1 (6899)","TETRALOGY OF FALLOT (OMIM:187500), CONOTRUNCAL HEART MALFORMATIONS (OMIM:217095), VELOCARDIOFACIAL SYNDROME (OMIM:192430), DIGEORGE SYNDROME (OMIM:188400)"
"ALG1 (56052)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608540)"
"JAM3 (83700)","HEMORRHAGIC DESTRUCTION OF THE BRAIN, SU... (OMIM:613730)"
"WDR62 (284403)","MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECES... (OMIM:604317)"
"KIF11 (3832)","MICROCEPHALY WITH OR WITHOUT CHORIORETIN... (OMIM:152950)"
"TBCE (6905)","KENNY-CAFFEY SYNDROME, TYPE 1 (OMIM:244460), HYPOPARATHYROIDISM-RETARDATION-DYSMORPHI... (OMIM:241410)"
"CDON (50937)","HOLOPROSENCEPHALY 11 (OMIM:614226)"
"CASC5 (57082)","MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECES... (OMIM:604321)"
"RAD21 (5885)","CORNELIA DE LANGE SYNDROME 4 (OMIM:614701)"
"TBX6 (6911)","SPONDYLOCOSTAL DYSOSTOSIS 5, AUTOSOMAL D... (OMIM:122600)"
"RNASEH2B (79621)","AICARDI-GOUTIERES SYNDROME 2 (OMIM:610181)"
"DPAGT1 (1798)","MYASTHENIC SYNDROME, CONGENITAL, WITH TU... (OMIM:614750), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608093)"
"SLC12A6 (9990)","AGENESIS OF THE CORPUS CALLOSUM WITH PER... (OMIM:218000)"
"LIAS (11019)","PYRUVATE DEHYDROGENASE LIPOIC ACID SYNTH... (OMIM:614462)"
"DPP6 (1804)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616311)"
"TCF4 (6925)","PITT-HOPKINS SYNDROME (OMIM:610954)"
"DPYD (1806)","DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIEN... (OMIM:274270)"
"MRXSBWB (105463128)","BROOKS-WISNIEWSKI-BROWN SYNDROME (OMIM:300612)"
"SATB2 (23314)","GLASS SYNDROME (OMIM:612313)"
"B3GLCT (145173)","PETERS-PLUS SYNDROME (OMIM:261540)"
"RARS (5917)","LEUKODYSTROPHY, HYPOMYELINATING, 9 (OMIM:616140)"
"MCPH1 (79648)","MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIV... (OMIM:251200)"
"HRX (7974)","HYPERREFLEXIA (OMIM:145290)"
"RBBP8 (5932)","JAWAD SYNDROME (OMIM:251255), SECKEL SYNDROME 2 (OMIM:606744)"
"PCLO (27445)","CEREBELLAR ATROPHY WITH PROGRESSIVE MICR... (OMIM:608027)"
"UBE3B (89910)","KAUFMAN OCULOCEREBROFACIAL SYNDROME (OMIM:244450)"
"L1CAM (3897)","MASA SYNDROME (OMIM:303350), HYDROCEPHALUS DUE TO CONGENITAL STENOSIS... (OMIM:307000), CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-... (OMIM:304100)"
"KAT6A (7994)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616268)"
"EXOSC3 (51010)","PONTOCEREBELLAR HYPOPLASIA, TYPE 1B (OMIM:614678)"
"DYRK1A (1859)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 7 (OMIM:614104)"
"DNM1L (10059)","ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE... (OMIM:614388)"
"ALG11 (440138)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:613661)"
"REN (5972)","HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVE... (OMIM:613092), RENIN (OMIM:179820), RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"TDGF1 (6997)","TERATOCARCINOMA-DERIVED GROWTH FACTOR 1 (OMIM:187395)"
"RIPK4 (54101)","POPLITEAL PTERYGIUM SYNDROME, LETHAL TYP... (OMIM:263650)"
"VARS2 (57176)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:615917)"
"EBM (1881)","BULLOUS DYSTROPHY, HEREDITARY MACULAR TY... (OMIM:302000)"
"DGS2 (8026)","DISTAL MONOSOMY 10P (OMIM:601362)"
"RBM28 (55131)","ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCR... (OMIM:612079)"
"PQBP1 (10084)","RENPENNING SYNDROME 1 (OMIM:309500)"
"COL4A3BP (10087)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616351)"
"MCOLN1 (57192)","MUCOLIPIDOSIS IV (OMIM:252650)"
"TSEN2 (80746)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2B (OMIM:612389)"
"TFAP2A (7020)","BRANCHIOOCULOFACIAL SYNDROME (OMIM:113620)"
"PALB2 (79728)","FANCONI ANEMIA, COMPLEMENTATION GROUP N (OMIM:610832)"
"NARS2 (79731)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616239)"
"PDHX (8050)","PYRUVATE DEHYDROGENASE E3-BINDING PROTEI... (OMIM:245349)"
"SIL1 (64374)","MARINESCO-SJOGREN SYNDROME (OMIM:248800)"
"PHC1 (1911)","MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECE... (OMIM:615414)"
"STT3B (201595)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:615597)"
"EEC1 (1913)","ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND ... (OMIM:129900)"
"PNPO (55163)","PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE D... (OMIM:610090)"
"EEF1A2 (1917)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616393), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616409)"
"RAD50 (10111)","NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER (OMIM:613078)"
"ESCO2 (157570)","ROBERTS SYNDROME (OMIM:268300), SC PHOCOMELIA SYNDROME (OMIM:269000)"
"GRIP1 (23426)","FRASER SYNDROME (OMIM:219000)"
"ORC1 (4998)","MEIER-GORLIN SYNDROME 1 (OMIM:224690)"
"SLC25A22 (79751)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:609304)"
"AP4E1 (23431)","SPASTIC PARAPLEGIA 51, AUTOSOMAL RECESSI... (OMIM:613744)"
"ORC4 (5000)","MEIER-GORLIN SYNDROME 2 (OMIM:613800)"
"LINS1 (55180)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:614340)"
"LIG4 (3981)","LIG4 SYNDROME (OMIM:606593)"
